iter	Logloss
184	0.3772547057
185	0.3758720932
186	0.3749255817
187	0.3738105274
188	0.3731121097
189	0.3724898956
190	0.3715389494
191	0.3705383913
192	0.3687376276
193	0.3676455408
194	0.3665004848
195	0.3653311414
196	0.3642472137
197	0.3629103513
198	0.361920046
199	0.3613124153
200	0.3603973094
201	0.3594417383
202	0.3585528734
203	0.3578566904
204	0.3565393618
205	0.3551396611
206	0.3547805202
207	0.3535943595
208	0.3525263055
209	0.351600323
210	0.3502818625
211	0.3497575993
212	0.3483507101
213	0.3472535428
214	0.3465511176
215	0.3457813714
216	0.3446549049
217	0.34371598
218	0.3430999011
219	0.3425054191
220	0.3415755144
221	0.34083169
222	0.3404367614
223	0.3390767372
224	0.3384693065
225	0.3375795697
226	0.3367920387
227	0.3358982435
228	0.3353011391
229	0.3345930624
230	0.3335347415
231	0.3328577619
232	0.3318978422
233	0.3308322883
234	0.3297259106
235	0.3287478473
236	0.3276403459
237	0.3265956112
238	0.3262472324
239	0.3253668173
240	0.3245913255
241	0.3242337599
242	0.3233963603
243	0.322759737
244	0.3222916374
245	0.3214459283
246	0.3205350692
247	0.3202131616
248	0.3195139864
249	0.318898907
250	0.3179322386
251	0.3171725746
252	0.3164087578
253	0.3156969372
254	0.3143757194
255	0.314028095
256	0.3130863625
257	0.3120842551
258	0.3113408037
259	0.3107846752
260	0.3095873486
261	0.3090944177
262	0.3087858355
263	0.3083215676
264	0.3076974982
265	0.3067467037
266	0.306112848
267	0.3056375916
268	0.3048951779
269	0.3040560913
270	0.3033072512
271	0.3026618794
272	0.3016834028
273	0.300330786
274	0.2996855193
275	0.2989064442
276	0.2983758601
277	0.2975969312
278	0.2967564904
279	0.2959708001
280	0.2952801314
281	0.2947307993
282	0.2939818881
283	0.2932634052
284	0.2926071375
285	0.2918981643
286	0.2912145408
287	0.2904072817
288	0.2897359671
289	0.28921708
290	0.2884086538
291	0.288065206
292	0.287498503
293	0.2870289275
294	0.2866173323
295	0.2860763305
296	0.2852873108
297	0.2846875577
298	0.2837224845
299	0.2828433166
300	0.2820859971
301	0.2814072853
302	0.280672101
303	0.279899834
304	0.2787567127
305	0.2779651268
306	0.2776571462
307	0.2772349533
308	0.2767614389
309	0.2763435385
310	0.2758705227
311	0.2756246435
312	0.2749067266
313	0.2742127548
314	0.2736491915
315	0.2732590388
316	0.2723023365
317	0.2718620958
318	0.2709739817
319	0.2701099965
320	0.2694007311
321	0.2688371006
322	0.2684797238
323	0.2677655801
324	0.2669170605
325	0.2663806867
326	0.2658672288
327	0.265447303
328	0.2648193754
329	0.2644587192
330	0.2639829765
331	0.2635468142
332	0.2630491497
333	0.2623064825
334	0.2619808803
335	0.2615097413
336	0.2610688027
337	0.260546838
338	0.2599737951
339	0.259565966
340	0.2589749715
341	0.2587569348
342	0.2584337327
343	0.2579508098
344	0.2575889888
345	0.2571524951
346	0.256774843
347	0.2564264608
348	0.2560163602
349	0.2557072533
350	0.2550074273
351	0.2546831799
352	0.2542779781
353	0.2535447728
354	0.2531982398
355	0.2527136763
356	0.2521012907
357	0.2519462764
358	0.2514491825
359	0.2510790819
360	0.2507199322
361	0.2501080718
362	0.2495612081
363	0.2492588933
364	0.2486767692
365	0.2481174286
366	0.2478383414
367	0.2472990759
368	0.2469365398
369	0.2466840396
370	0.2463646749
371	0.2458082664
372	0.2455345073
373	0.2450897301
374	0.2447090065
375	0.2444260544
376	0.2438580342
377	0.2433457405
378	0.2429477046
379	0.2425633937
380	0.2422514579
381	0.2416883154
382	0.2415100434
383	0.2409588809
384	0.2406620744
385	0.2403231542
386	0.2396285455
387	0.2390809285
388	0.2385779595
389	0.2380951889
390	0.2377053578
391	0.236967982
392	0.2366605564
393	0.2363117105
394	0.235758815
395	0.2355034949
396	0.2350792048
397	0.2346345305
398	0.2341501561
399	0.2336994411
