iter	Logloss
0	0.6861957243
1	0.6773533464
2	0.6698681799
3	0.6656900525
4	0.6595178575
5	0.653879744
6	0.6482529879
7	0.6426689875
8	0.6367650694
9	0.6331380374
10	0.6287833794
11	0.6236950072
12	0.6185884139
13	0.6147586305
14	0.6116236334
15	0.6078908928
16	0.6039386401
17	0.5994465662
18	0.595933881
19	0.5930413496
20	0.5893575381
21	0.5865271554
22	0.5844938655
23	0.5815423412
24	0.5794986471
25	0.5771400885
26	0.5747633834
27	0.5722386053
28	0.5702663128
29	0.5681495197
30	0.5670355342
31	0.5642268307
32	0.5622637448
33	0.5593773382
34	0.5568374386
35	0.5550668856
36	0.5526866981
37	0.5512491662
38	0.5479635773
39	0.545601531
40	0.5442487404
41	0.5424325492
42	0.5398998817
43	0.5389810576
44	0.5375239242
45	0.5362994349
46	0.535004012
47	0.5331995716
48	0.5313232737
49	0.5301090282
50	0.5281800057
51	0.5250613625
52	0.5220660206
53	0.5203539898
54	0.5190534709
55	0.5175110394
56	0.5158516699
57	0.5150043867
58	0.5134840295
59	0.511328608
60	0.5094678735
61	0.5081931966
62	0.506606545
63	0.5059362779
64	0.5048690563
65	0.5034951735
66	0.5022243457
67	0.5001983171
68	0.4997851332
69	0.4986167016
70	0.4978995708
71	0.4962251371
72	0.4953466484
73	0.4930457294
74	0.4920728202
75	0.4909033979
76	0.4892486419
77	0.4878223684
78	0.4861583275
79	0.4850411861
80	0.484252408
81	0.4832302811
82	0.4824564904
83	0.4813644994
84	0.4804572755
85	0.4793758624
86	0.4781653393
87	0.4767508786
88	0.475732392
89	0.4748771713
90	0.4743768216
91	0.4735624424
92	0.4720945902
93	0.4704785229
94	0.4694095697
95	0.4680680614
96	0.4669600758
97	0.4661528885
98	0.4647524306
99	0.4637492538
100	0.4626329495
101	0.4617739888
102	0.4610890485
103	0.4596928794
104	0.4587246526
105	0.4573253289
106	0.4563625693
107	0.4558681458
108	0.4547535011
109	0.4537640943
110	0.4526264192
111	0.4514239153
112	0.4504141093
113	0.4496418816
114	0.4492446844
115	0.448397009
116	0.447703848
117	0.4467642015
118	0.4453251665
119	0.4446742893
120	0.444333272
121	0.4435918268
122	0.4429439022
123	0.4414786399
124	0.4404845223
125	0.4390411968
126	0.4376994509
127	0.4371035209
128	0.4364428202
129	0.4351756816
130	0.4344704282
131	0.4338813106
132	0.4328158466
133	0.4318810365
134	0.4309604545
135	0.4303159037
136	0.4291330906
137	0.4279368417
138	0.4274829846
139	0.4262411189
140	0.4246684758
141	0.423915967
142	0.4228027461
143	0.4215377089
144	0.4199814096
145	0.4188096395
146	0.4177148641
147	0.4163041373
148	0.4154719093
149	0.4141048088
150	0.4132260791
151	0.4126516855
152	0.4122976846
153	0.4107819563
154	0.4093163536
155	0.4080999585
156	0.4067738008
157	0.4053336707
158	0.4045069536
159	0.4035667299
160	0.4024937127
161	0.4018804242
162	0.4004935219
163	0.3991416484
164	0.3977012203
165	0.396706507
166	0.3958204258
167	0.3953494785
168	0.3944843286
169	0.3935795381
170	0.3927332431
171	0.3912437617
172	0.3905811956
173	0.3895909217
174	0.3883263784
175	0.3875059574
176	0.3866773482
177	0.3854552412
178	0.3844962964
179	0.3832877152
180	0.3820041652
181	0.3805849639
182	0.3795067464
183	0.3785272362
